name,position,dateOfBirth,nationality
Ederson,Goalkeeper,1993-08-17,Brazil
Scott Carson,Goalkeeper,1985-09-03,England
Stefan Ortega Moreno,Goalkeeper,1992-11-06,Germany
Max Hudson,Goalkeeper,2007-09-20,Wales
Spike Brits,Goalkeeper,2007-06-24,England
Kaden Braithwaite,Defence,2008-03-25,England
Nico O'Reilly,Midfield,2005-03-21,England
Farid Alfa-Ruprecht,Offence,2006-03-28,Germany
Jeremy Doku,Left Winger,2002-05-27,Belgium
Matheus Nunes,Central Midfield,1998-08-27,Portugal
Omar Marmoush,Centre-Forward,1999-02-07,Egypt
Erling Haaland,Centre-Forward,2000-07-21,Norway
Rúben Dias,Centre-Back,1997-05-14,Portugal
Nathan Aké,Centre-Back,1995-02-18,Netherlands
Phil Foden,Right Winger,2000-05-28,England
Jack Grealish,Left Winger,1995-09-10,England
Kevin De Bruyne,Attacking Midfield,1991-06-28,Belgium
John Stones,Centre-Back,1994-05-28,England
Bernardo Silva,Attacking Midfield,1994-08-10,Portugal
Rodri,Defensive Midfield,1996-06-22,Spain
Ilkay Gündogan,Central Midfield,1990-10-24,Germany
Manuel Akanji,Centre-Back,1995-07-19,Switzerland
Mateo Kovačić,Central Midfield,1994-05-06,Croatia
Jahmai Simpson-Pusey,Centre-Back,2005-11-04,England
Vitor Reis,Centre-Back,2006-01-12,Brazil
Max Alleyne,Centre-Back,2005-07-21,England
Abdukodir Khusanov,Centre-Back,2004-02-29,Uzbekistan
Claudio Echeverri,Attacking Midfield,2006-01-02,Argentina
Divin Mubama,Centre-Forward,2004-10-25,England
Rico Lewis,Right-Back,2004-11-21,England
Oscar Bobb,Right Winger,2003-07-12,Norway
Christian McFarlane,Left-Back,2007-01-25,England
James McAtee,Attacking Midfield,2002-10-18,England
Nico Gonzalez,Central Midfield,2002-01-03,Spain
Sávio,Right Winger,2004-04-10,Brazil
Joško Gvardiol,Left-Back,2002-01-23,Croatia
